id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3458,Cozy Private room in Bed-Stuy,91460,Michael,Brooklyn,Bed-Stuy,40.672225,-73.960446,Private room,46,2,8,2019-07-31,0.67,1,107
3459,Cozy Entire home/apt in Midtown,33452,David,Manhattan,Midtown,40.720033,-73.977734,Entire home/apt,305,3,5,2019-08-12,5.0,1,191
3460,Cozy Private room in Bed-Stuy,80080,Lisa,Brooklyn,Bed-Stuy,40.67345,-73.917078,Private room,47,14,20,2020-05-30,0.59,1,230
3461,Cozy Private room in Crown Heights,77015,Michael,Brooklyn,Crown Heights,40.640678,-73.952329,Private room,147,2,1,2019-08-14,0.05,1,355
3462,Cozy Entire home/apt in Crown Heights,53394,Maria,Brooklyn,Crown Heights,40.663473,-73.939484,Entire home/apt,191,2,9,2019-06-25,0.6,5,20
3463,Cozy Shared room in Midtown,93295,Sarah,Manhattan,Midtown,40.760257,-73.944956,Shared room,10,2,57,2019-10-26,19.0,2,187
3464,Cozy Entire home/apt in Kingsbridge,67245,David,Bronx,Kingsbridge,40.843004,-73.866382,Entire home/apt,69,3,3,2019-10-12,0.33,20,157
3465,Cozy Entire home/apt in Long Island City,16005,John,Queens,Long Island City,40.731578,-73.856739,Entire home/apt,79,2,10,2019-09-12,0.71,1,264
3466,Cozy Private room in Bed-Stuy,78574,Maria,Brooklyn,Bed-Stuy,40.645294,-73.964532,Private room,73,3,55,2019-01-02,2.39,1,180
3467,Cozy Entire home/apt in Long Island City,42454,Emma,Queens,Long Island City,40.734076,-73.844913,Entire home/apt,84,1,8,2019-03-27,0.22,1,326
3468,Cozy Entire home/apt in Chelsea,34564,David,Manhattan,Chelsea,40.764681,-73.971464,Entire home/apt,202,7,1,2020-02-23,0.05,1,223
3469,Cozy Entire home/apt in Chelsea,99937,John,Manhattan,Chelsea,40.743231,-73.988323,Entire home/apt,184,7,10,2019-01-11,0.43,1,30
3470,Cozy Private room in Bushwick,87558,Michael,Brooklyn,Bushwick,40.664037,-73.966001,Private room,114,60,14,2019-06-30,0.82,1,266
3471,Cozy Entire home/apt in Williamsburg,76828,Maria,Brooklyn,Williamsburg,40.647018,-73.918378,Entire home/apt,210,3,114,2020-01-27,6.71,1,73
3472,Cozy Private room in New Brighton,77323,Sarah,Staten Island,New Brighton,40.587764,-74.142327,Private room,91,1,26,2020-03-28,1.73,5,63
3473,Cozy Entire home/apt in Chelsea,31892,Michael,Manhattan,Chelsea,40.787064,-73.989722,Entire home/apt,146,3,49,2019-07-28,1.88,1,141
3474,Cozy Private room in Harlem,67314,Lisa,Manhattan,Harlem,40.74065,-73.981123,Private room,90,30,1,2019-08-26,0.04,1,118
3475,Cozy Private room in Crown Heights,28428,David,Brooklyn,Crown Heights,40.650525,-73.966062,Private room,193,1,38,2020-05-05,6.33,3,31
3476,Cozy Entire home/apt in Upper East Side,13954,David,Manhattan,Upper East Side,40.756751,-73.947683,Entire home/apt,187,7,9,2020-04-15,0.75,1,279
3477,Cozy Shared room in Harlem,32169,Sarah,Manhattan,Harlem,40.734622,-74.011001,Shared room,10,1,78,2020-05-17,6.5,10,67
3478,Cozy Entire home/apt in Crown Heights,64309,John,Brooklyn,Crown Heights,40.655869,-73.968403,Entire home/apt,166,90,5,2019-11-14,0.45,1,113
3479,Cozy Entire home/apt in Bushwick,70916,James,Brooklyn,Bushwick,40.64683,-73.967192,Entire home/apt,118,2,4,2019-07-12,0.8,1,28
3480,Cozy Entire home/apt in Flushing,12302,Maria,Queens,Flushing,40.746142,-73.890065,Entire home/apt,130,3,0,,,1,234
3481,Cozy Entire home/apt in Fordham,80052,Sarah,Bronx,Fordham,40.801992,-73.875583,Entire home/apt,56,1,85,2020-04-10,3.27,1,51
3482,Cozy Entire home/apt in Midtown,31708,David,Manhattan,Midtown,40.792355,-74.015173,Entire home/apt,158,1,46,2019-01-13,6.57,1,342
3483,Cozy Entire home/apt in Jackson Heights,12435,James,Queens,Jackson Heights,40.740229,-73.890683,Entire home/apt,115,1,31,2019-01-22,,1,319
3484,Cozy Private room in Riverdale,13138,John,Bronx,Riverdale,40.826715,-73.871151,Private room,64,3,20,2019-05-16,1.25,1,252
3485,Cozy Entire home/apt in Williamsburg,54770,Michael,Brooklyn,Williamsburg,40.69688,-73.959711,Entire home/apt,151,3,4,2019-05-27,4.0,2,173
3486,Cozy Entire home/apt in Midtown,48300,Maria,Manhattan,Midtown,40.717854,-73.961466,Entire home/apt,279,14,12,2019-12-13,2.0,1,120
3487,Cozy Entire home/apt in Bushwick,48353,David,Brooklyn,Bushwick,40.699334,-73.962022,Entire home/apt,125,3,1,2020-05-06,0.03,1,292
3488,Cozy Entire home/apt in Harlem,74010,Michael,Manhattan,Harlem,40.737857,-73.944316,Entire home/apt,176,3,66,2019-12-06,,1,178
3489,Cozy Entire home/apt in Flushing,23460,Sarah,Queens,Flushing,40.735422,-73.840095,Entire home/apt,105,14,18,2019-02-27,0.51,1,98
3490,Cozy Entire home/apt in Crown Heights,55741,Maria,Brooklyn,Crown Heights,40.626605,-73.940522,Entire home/apt,128,90,149,2019-01-22,49.67,1,296
3491,Cozy Private room in Riverdale,62984,Michael,Bronx,Riverdale,40.827916,-73.888505,Private room,56,3,89,2019-04-16,2.7,2,120
3492,Cozy Private room in Fordham,76951,David,Bronx,Fordham,40.827225,-73.846474,Private room,10,2,25,2019-01-02,1.67,1,264
3493,Cozy Private room in Williamsburg,95161,Sarah,Brooklyn,Williamsburg,40.659347,-73.976691,Private room,92,3,26,2020-03-13,1.04,20,328
3494,Cozy Private room in Bushwick,97857,Emma,Brooklyn,Bushwick,40.694533,-73.909362,Private room,36,14,76,2019-10-21,5.07,3,74
3495,Cozy Shared room in Kingsbridge,61227,James,Bronx,Kingsbridge,40.866955,-73.867995,Shared room,23,7,24,2019-04-26,0.75,1,23
3496,Cozy Private room in Flushing,56845,Maria,Queens,Flushing,40.75689,-73.861889,Private room,10,60,48,2019-08-18,6.86,1,268
3497,Cozy Private room in Crown Heights,47363,Emma,Brooklyn,Crown Heights,40.640522,-73.952689,Private room,99,1,8,2019-03-20,0.36,20,190
3498,Cozy Entire home/apt in Astoria,99583,Emma,Queens,Astoria,40.762782,-73.868153,Entire home/apt,100,3,15,2019-03-28,5.0,1,178
3499,Cozy Entire home/apt in Lower East Side,96467,David,Manhattan,Lower East Side,40.744823,-73.951903,Entire home/apt,259,30,5,2019-07-02,0.18,3,162
3500,Cozy Private room in Bed-Stuy,41739,Emma,Brooklyn,Bed-Stuy,40.627323,-73.92533,Private room,86,2,10,2019-07-05,0.36,3,32
3501,Cozy Entire home/apt in Bushwick,57312,Michael,Brooklyn,Bushwick,40.636858,-73.949343,Entire home/apt,83,1,47,,2.04,3,179
3502,Cozy Entire home/apt in Williamsburg,97081,Michael,Brooklyn,Williamsburg,40.65812,-73.957294,Entire home/apt,97,3,1,2020-05-26,0.04,2,90
3503,Cozy Entire home/apt in Chelsea,65885,Maria,Manhattan,Chelsea,40.754448,-73.999594,Entire home/apt,99,1,39,2019-01-03,3.9,2,243
3504,Cozy Entire home/apt in Bushwick,84842,Emma,Brooklyn,Bushwick,40.650336,-73.937245,Entire home/apt,203,3,89,2019-06-01,3.56,1,156
3505,Cozy Entire home/apt in Jackson Heights,26985,Lisa,Queens,Jackson Heights,40.753297,-73.879891,Entire home/apt,118,3,11,2019-03-10,,3,253
3506,Cozy Shared room in Bed-Stuy,80313,James,Brooklyn,Bed-Stuy,40.63312,-73.98382,Shared room,45,3,34,2019-10-13,3.4,1,259
3507,Cozy Entire home/apt in St. George,30764,Emma,Staten Island,St. George,40.60106,-74.139112,Entire home/apt,110,2,1,2019-05-11,0.08,2,260
3508,Cozy Entire home/apt in Park Slope,59031,Emma,Brooklyn,Park Slope,40.629038,-73.912859,Entire home/apt,263,14,25,2019-11-23,0.78,1,340
3509,Cozy Private room in Jackson Heights,16645,Lisa,Queens,Jackson Heights,40.757687,-73.8669,Private room,18,2,22,2020-02-28,1.0,1,186
3510,Cozy Entire home/apt in Harlem,60091,Sarah,Manhattan,Harlem,40.774588,-73.960536,Entire home/apt,317,14,37,2020-01-28,1.37,2,220
3511,Cozy Private room in Lower East Side,18422,Lisa,Manhattan,Lower East Side,40.781232,-73.993605,Private room,131,1,10,2020-06-30,0.31,1,338
3512,Cozy Private room in Bed-Stuy,83361,Sarah,Brooklyn,Bed-Stuy,40.643482,-73.915347,Private room,112,1,6,2020-01-29,1.0,1,26
3513,Cozy Private room in Bed-Stuy,10990,James,Brooklyn,Bed-Stuy,40.703584,-73.908249,Private room,176,7,37,2020-06-23,2.47,3,337
3514,Cozy Private room in Williamsburg,22922,Sarah,Brooklyn,Williamsburg,40.697133,-73.919544,Private room,59,1,0,,,1,357
3515,Cozy Private room in Chelsea,64703,John,Manhattan,Chelsea,40.778211,-73.975198,Private room,74,60,40,2019-07-28,20.0,20,78
3516,Cozy Private room in Crown Heights,83687,Lisa,Brooklyn,Crown Heights,40.646328,-73.909065,Private room,113,7,2,2019-05-17,0.25,3,176
3517,Cozy Private room in Astoria,46200,Emma,Queens,Astoria,40.703368,-73.893025,Private room,24,1,23,2020-01-05,2.56,1,6
3518,Cozy Private room in Chelsea,98760,Lisa,Manhattan,Chelsea,40.724829,-73.957601,Private room,230,7,97,2019-05-28,2.69,1,182
3519,Cozy Private room in Park Slope,45301,Sarah,Brooklyn,Park Slope,40.688454,-73.927747,Private room,65,30,58,2019-08-04,3.87,1,276
3520,Cozy Private room in Williamsburg,96703,David,Brooklyn,Williamsburg,40.657059,-73.914966,Private room,42,3,33,2019-05-01,3.3,1,3
3521,Cozy Private room in Fordham,74535,John,Bronx,Fordham,40.843686,-73.919456,Private room,87,2,70,2020-03-10,2.92,2,5
3522,Cozy Entire home/apt in Williamsburg,76881,Maria,Brooklyn,Williamsburg,40.688201,-73.953942,Entire home/apt,241,3,42,2019-03-17,1.35,20,14
3523,Cozy Entire home/apt in Kingsbridge,71503,David,Bronx,Kingsbridge,40.874651,-73.878207,Entire home/apt,61,7,56,2019-01-31,5.6,1,21
3524,Cozy Entire home/apt in Chelsea,84877,David,Manhattan,Chelsea,40.769401,-74.006575,Entire home/apt,271,60,6,2019-03-22,0.38,5,358
3525,Cozy Private room in Williamsburg,80156,John,Brooklyn,Williamsburg,40.689273,-73.91471,Private room,36,1,78,2020-03-02,7.8,2,209
3526,Cozy Private room in Harlem,20721,Lisa,Manhattan,Harlem,40.774267,-74.002301,Private room,26,1,16,2019-05-24,0.47,2,190
3527,Cozy Private room in Hell's Kitchen,13553,Michael,Manhattan,Hell's Kitchen,40.737474,-73.967372,Private room,50,1,75,2020-04-26,2.78,2,349
3528,Cozy Private room in Hell's Kitchen,85270,Emma,Manhattan,Hell's Kitchen,40.787491,-73.978919,Private room,91,7,30,2020-03-30,30.0,1,23
3529,Cozy Entire home/apt in Chelsea,64560,Maria,Manhattan,Chelsea,40.737466,-73.960369,Entire home/apt,310,3,32,2019-06-09,8.0,1,279
3530,Cozy Private room in Williamsburg,76311,David,Brooklyn,Williamsburg,40.691724,-73.945627,Private room,116,3,8,2020-05-30,0.73,2,197
3531,Cozy Entire home/apt in Astoria,20046,James,Queens,Astoria,40.72062,-73.868143,Entire home/apt,144,30,30,2020-03-09,1.0,5,215
3532,Cozy Private room in Lower East Side,67483,Michael,Manhattan,Lower East Side,40.781999,-74.016522,Private room,155,7,39,2020-05-28,1.95,1,150
3533,Cozy Entire home/apt in Bushwick,20379,James,Brooklyn,Bushwick,40.681478,-73.959811,Entire home/apt,87,30,12,2019-06-10,0.67,1,274
3534,Cozy Private room in Williamsburg,78879,James,Brooklyn,Williamsburg,40.687209,-73.941117,Private room,181,14,57,2019-05-09,4.07,1,47
3535,Cozy Entire home/apt in Park Slope,12661,John,Brooklyn,Park Slope,40.652131,-73.981297,Entire home/apt,59,2,2,2019-08-13,0.08,1,359
3536,Cozy Entire home/apt in Harlem,71402,Maria,Manhattan,Harlem,40.76082,-74.009781,Entire home/apt,158,1,15,2020-04-24,0.48,1,89
3537,Cozy Entire home/apt in Chelsea,94498,James,Manhattan,Chelsea,40.759112,-73.967317,Entire home/apt,134,14,1,2020-01-25,0.09,5,31
3538,Cozy Private room in St. George,17792,Emma,Staten Island,St. George,40.553812,-74.153675,Private room,10,1,9,2020-03-10,0.69,5,34
3539,Cozy Entire home/apt in Long Island City,27007,Maria,Queens,Long Island City,40.71688,-73.833477,Entire home/apt,52,2,4,2019-04-17,0.8,2,209
3540,Cozy Private room in Chelsea,37033,Emma,Manhattan,Chelsea,40.729587,-73.965504,Private room,92,1,4,2019-01-29,0.25,1,220
3541,Cozy Private room in Long Island City,62749,David,Queens,Long Island City,40.763923,-73.865469,Private room,32,7,18,2019-04-20,3.6,1,313
3542,Cozy Private room in Bushwick,40442,John,Brooklyn,Bushwick,40.692394,-73.916611,Private room,134,2,0,,,1,176
3543,Cozy Private room in Stapleton,18498,Sarah,Staten Island,Stapleton,40.617439,-74.161367,Private room,34,3,101,2019-07-26,33.67,10,143
3544,Cozy Entire home/apt in Flushing,76239,Michael,Queens,Flushing,40.73576,-73.826508,Entire home/apt,185,1,27,2019-03-29,9.0,2,117
3545,Cozy Private room in Bed-Stuy,20149,Lisa,Brooklyn,Bed-Stuy,40.662276,-73.907501,Private room,129,2,44,2019-02-16,11.0,5,249
3546,Cozy Entire home/apt in Long Island City,23772,Maria,Queens,Long Island City,40.6977,-73.856275,Entire home/apt,141,7,19,2019-11-13,19.0,1,182
3547,Cozy Entire home/apt in Chelsea,28839,Michael,Manhattan,Chelsea,40.750662,-74.018605,Entire home/apt,246,14,12,2020-02-12,0.36,20,110
3548,Cozy Private room in St. George,38942,Emma,Staten Island,St. George,40.542487,-74.151065,Private room,56,1,35,2020-02-05,1.52,1,334
3549,Cozy Entire home/apt in Flushing,83663,Maria,Queens,Flushing,40.740398,-73.877973,Entire home/apt,10,3,18,2019-12-06,0.67,1,68
3550,Cozy Private room in Hell's Kitchen,51579,Maria,Manhattan,Hell's Kitchen,40.760976,-73.999684,Private room,202,7,1,2020-05-29,0.1,1,147
3551,Cozy Private room in Midtown,49032,James,Manhattan,Midtown,40.728335,-73.999354,Private room,262,1,30,2020-05-03,10.0,1,31
3552,Cozy Private room in Crown Heights,87764,David,Brooklyn,Crown Heights,40.648914,-73.983425,Private room,129,2,84,2019-06-05,2.8,1,54
3553,Cozy Entire home/apt in Midtown,21837,Maria,Manhattan,Midtown,40.768151,-73.980941,Entire home/apt,10,7,29,2019-08-26,2.07,2,215
3554,Cozy Private room in Bushwick,33036,David,Brooklyn,Bushwick,40.638,-73.963883,Private room,38,2,14,2020-05-28,0.41,1,128
3555,Cozy Entire home/apt in Long Island City,51382,Lisa,Queens,Long Island City,40.766682,-73.847413,Entire home/apt,61,2,30,2019-05-15,1.36,5,114
3556,Cozy Private room in Crown Heights,53752,Emma,Brooklyn,Crown Heights,40.69652,-73.979524,Private room,154,2,19,2020-03-17,6.33,2,32
3557,Cozy Entire home/apt in Hell's Kitchen,10620,James,Manhattan,Hell's Kitchen,40.764159,-73.980396,Entire home/apt,271,14,53,2019-09-02,3.79,2,114
3558,Cozy Private room in Bed-Stuy,16053,Maria,Brooklyn,Bed-Stuy,40.652429,-73.956599,Private room,10,2,29,2019-06-06,0.91,1,258
3559,Cozy Entire home/apt in Williamsburg,49497,John,Brooklyn,Williamsburg,40.647159,-73.964628,Entire home/apt,10,2,11,2019-05-27,0.55,5,255
3560,Cozy Entire home/apt in Bed-Stuy,86254,Maria,Brooklyn,Bed-Stuy,40.697118,-73.942499,Entire home/apt,196,1,0,,,2,73
3561,Cozy Entire home/apt in Upper East Side,21969,Maria,Manhattan,Upper East Side,40.722294,-73.982431,Entire home/apt,185,1,42,2020-04-10,2.0,2,338
3562,Cozy Entire home/apt in Flushing,85501,Michael,Queens,Flushing,40.752027,-73.858818,Entire home/apt,118,1,102,2019-06-15,20.4,1,343
3563,Cozy Entire home/apt in Chelsea,75924,Emma,Manhattan,Chelsea,40.714486,-73.966985,Entire home/apt,64,7,18,2019-12-28,3.0,1,142
3564,Cozy Entire home/apt in Midtown,65971,David,Manhattan,Midtown,40.720056,-73.977314,Entire home/apt,188,1,6,2020-04-16,0.35,1,345
3565,Cozy Private room in Upper East Side,64569,Michael,Manhattan,Upper East Side,40.742552,-73.967954,Private room,142,1,23,2020-03-28,2.56,2,325
3566,Cozy Entire home/apt in Midtown,96616,Lisa,Manhattan,Midtown,40.743825,-73.953793,Entire home/apt,10,7,18,2019-02-10,0.75,1,88
3567,Cozy Private room in Crown Heights,46219,James,Brooklyn,Crown Heights,40.674418,-73.913656,Private room,11,3,19,2020-02-23,2.11,3,86
3568,Cozy Shared room in Park Slope,83082,Emma,Brooklyn,Park Slope,40.649728,-73.943716,Shared room,10,1,122,2020-06-08,5.81,2,341
3569,Cozy Private room in Chelsea,52774,Maria,Manhattan,Chelsea,40.735459,-73.958355,Private room,110,2,35,2020-02-28,1.06,2,277
3570,Cozy Entire home/apt in Jackson Heights,83588,Michael,Queens,Jackson Heights,40.76215,-73.886508,Entire home/apt,99,2,88,2019-02-13,22.0,10,94
3571,Cozy Private room in Hell's Kitchen,70533,Sarah,Manhattan,Hell's Kitchen,40.768527,-73.991124,Private room,10,2,5,2019-01-09,0.5,3,32
3572,Cozy Entire home/apt in Astoria,56316,Michael,Queens,Astoria,40.727565,-73.897667,Entire home/apt,121,3,65,2020-01-20,5.91,1,121
3573,Cozy Entire home/apt in Lower East Side,14263,James,Manhattan,Lower East Side,40.744652,-73.991218,Entire home/apt,264,14,0,,,1,52
3574,Cozy Entire home/apt in Midtown,20865,Sarah,Manhattan,Midtown,40.740779,-73.95788,Entire home/apt,260,3,20,2020-02-02,0.67,2,261
3575,Cozy Private room in Hell's Kitchen,62557,Maria,Manhattan,Hell's Kitchen,40.717874,-73.997801,Private room,179,3,63,2019-12-24,2.1,2,207
3576,Cozy Private room in Fordham,22507,Lisa,Bronx,Fordham,40.814697,-73.906417,Private room,45,3,84,2019-04-22,14.0,1,24
3577,Cozy Private room in Harlem,16859,Maria,Manhattan,Harlem,40.718329,-73.977083,Private room,65,7,18,2020-02-11,0.64,5,292
3578,Cozy Private room in Bushwick,49612,James,Brooklyn,Bushwick,40.627308,-73.957555,Private room,112,2,14,2019-12-03,2.8,3,189
3579,Cozy Entire home/apt in Chelsea,74106,Emma,Manhattan,Chelsea,40.758566,-74.006825,Entire home/apt,120,1,38,2020-05-12,2.71,1,222
3580,Cozy Private room in Park Slope,42597,Maria,Brooklyn,Park Slope,40.633987,-73.940023,Private room,83,1,18,2019-10-13,0.6,1,294
3581,Cozy Entire home/apt in Riverdale,13155,David,Bronx,Riverdale,40.873226,-73.919087,Entire home/apt,89,2,35,2020-04-26,3.5,10,12
3582,Cozy Entire home/apt in Hell's Kitchen,52344,Sarah,Manhattan,Hell's Kitchen,40.745089,-73.951484,Entire home/apt,363,3,7,2019-11-24,2.33,5,247
3583,Cozy Entire home/apt in Bed-Stuy,17775,James,Brooklyn,Bed-Stuy,40.667582,-73.966116,Entire home/apt,112,60,5,2019-03-05,0.21,1,61
3584,Cozy Private room in Upper East Side,35354,Lisa,Manhattan,Upper East Side,40.752888,-73.974411,Private room,20,1,66,2019-08-07,16.5,1,224
3585,Cozy Private room in Bushwick,80178,John,Brooklyn,Bushwick,40.664747,-73.922673,Private room,40,1,10,2020-03-09,0.56,1,172
3586,Cozy Entire home/apt in Chelsea,59200,David,Manhattan,Chelsea,40.785636,-73.94909,Entire home/apt,321,7,73,2019-03-27,7.3,1,215
3587,Cozy Entire home/apt in Midtown,25140,Michael,Manhattan,Midtown,40.787405,-73.992291,Entire home/apt,268,7,20,2020-02-19,3.33,1,175
3588,Cozy Entire home/apt in Chelsea,95534,Lisa,Manhattan,Chelsea,40.755795,-73.953267,Entire home/apt,298,3,14,2020-03-05,0.41,10,348
3589,Cozy Entire home/apt in Bushwick,98448,Michael,Brooklyn,Bushwick,40.673052,-73.932325,Entire home/apt,120,3,2,2019-07-08,0.5,1,77
3590,Cozy Entire home/apt in Riverdale,59253,James,Bronx,Riverdale,40.82252,-73.883626,Entire home/apt,67,7,31,2019-12-17,1.55,5,285
3591,Cozy Entire home/apt in Riverdale,17114,Sarah,Bronx,Riverdale,40.872909,-73.882916,Entire home/apt,100,7,10,2019-12-24,,10,164
3592,Cozy Entire home/apt in Jackson Heights,85176,Lisa,Queens,Jackson Heights,40.761106,-73.82689,Entire home/apt,103,7,13,2019-06-14,0.46,20,80
3593,Cozy Entire home/apt in Chelsea,10026,James,Manhattan,Chelsea,40.788214,-73.977994,Entire home/apt,268,30,0,,,1,196
3594,Cozy Entire home/apt in Midtown,82659,Sarah,Manhattan,Midtown,40.793973,-73.961873,Entire home/apt,135,1,39,2019-03-21,3.9,20,179
3595,Cozy Entire home/apt in Chelsea,66032,Emma,Manhattan,Chelsea,40.73218,-74.008574,Entire home/apt,84,1,17,2019-01-15,1.7,2,159
3596,Cozy Entire home/apt in Park Slope,49300,David,Brooklyn,Park Slope,40.647611,-73.982199,Entire home/apt,205,3,39,2020-05-26,1.86,1,16
3597,Cozy Shared room in Midtown,40171,James,Manhattan,Midtown,40.760321,-74.020013,Shared room,16,1,63,2019-09-27,1.85,1,260
3598,Cozy Private room in Williamsburg,19164,Lisa,Brooklyn,Williamsburg,40.685151,-73.932777,Private room,98,1,15,2019-05-09,0.52,3,65
3599,Cozy Entire home/apt in Hell's Kitchen,26360,Maria,Manhattan,Hell's Kitchen,40.753795,-73.96035,Entire home/apt,204,1,12,2019-02-07,0.86,1,151
3600,Cozy Entire home/apt in Hell's Kitchen,75101,Sarah,Manhattan,Hell's Kitchen,40.791759,-74.010559,Entire home/apt,220,3,25,2020-03-06,0.71,1,268
3601,Cozy Entire home/apt in Harlem,70357,James,Manhattan,Harlem,40.776226,-73.946989,Entire home/apt,282,3,11,2019-08-10,0.48,1,123
3602,Cozy Entire home/apt in Bushwick,33691,Sarah,Brooklyn,Bushwick,40.64844,-73.963006,Entire home/apt,152,1,40,2019-01-15,1.67,2,8
3603,Cozy Entire home/apt in Crown Heights,87582,John,Brooklyn,Crown Heights,40.691882,-73.967082,Entire home/apt,171,1,20,2019-11-06,1.0,1,32
3604,Cozy Private room in Astoria,10645,Lisa,Queens,Astoria,40.714329,-73.863258,Private room,10,14,6,2020-04-11,0.22,1,20
3605,Cozy Entire home/apt in Upper East Side,97129,Emma,Manhattan,Upper East Side,40.746643,-74.021011,Entire home/apt,314,7,30,2019-12-27,0.86,1,11
3606,Cozy Private room in Jackson Heights,65387,Emma,Queens,Jackson Heights,40.741149,-73.856111,Private room,25,1,42,2019-04-27,3.5,1,95
3607,Cozy Entire home/apt in Fordham,87700,James,Bronx,Fordham,40.846946,-73.902478,Entire home/apt,50,1,33,2020-01-18,2.75,1,55
3608,Cozy Private room in Kingsbridge,22521,David,Bronx,Kingsbridge,40.802576,-73.908128,Private room,19,14,33,2020-03-22,1.32,1,348
3609,Cozy Private room in Crown Heights,86862,James,Brooklyn,Crown Heights,40.629869,-73.950148,Private room,10,1,30,2019-10-18,4.29,1,300
3610,Cozy Entire home/apt in Astoria,73989,Maria,Queens,Astoria,40.736585,-73.826188,Entire home/apt,94,14,14,2019-04-02,7.0,1,114
3611,Cozy Entire home/apt in Jackson Heights,66221,Maria,Queens,Jackson Heights,40.746899,-73.887894,Entire home/apt,123,2,45,2020-05-23,1.29,1,46
3612,Cozy Private room in Williamsburg,20071,Lisa,Brooklyn,Williamsburg,40.676955,-73.923373,Private room,78,2,2,2020-05-30,0.67,1,332
3613,Cozy Entire home/apt in Crown Heights,77799,James,Brooklyn,Crown Heights,40.683793,-73.905185,Entire home/apt,91,3,8,2019-08-05,0.53,1,112
3614,Cozy Private room in Park Slope,92961,James,Brooklyn,Park Slope,40.656184,-73.908959,Private room,159,3,13,2019-04-28,1.0,2,287
3615,Cozy Private room in Park Slope,52523,Maria,Brooklyn,Park Slope,40.637886,-73.950848,Private room,99,2,1,2019-12-26,0.03,1,149
3616,Cozy Private room in Upper East Side,26250,James,Manhattan,Upper East Side,40.766278,-73.990464,Private room,212,1,21,2019-01-08,0.88,10,102
3617,Cozy Entire home/apt in Riverdale,66657,Michael,Bronx,Riverdale,40.853576,-73.897264,Entire home/apt,99,1,25,2019-10-02,1.47,1,341
3618,Cozy Entire home/apt in Fordham,10984,James,Bronx,Fordham,40.845253,-73.909212,Entire home/apt,67,14,13,2019-09-05,13.0,1,74
3619,Cozy Private room in Fordham,77621,John,Bronx,Fordham,40.851483,-73.8727,Private room,43,30,58,2019-01-16,29.0,2,347
3620,Cozy Entire home/apt in Bushwick,89654,Emma,Brooklyn,Bushwick,40.657484,-73.91228,Entire home/apt,238,60,48,2020-06-15,2.29,1,324
3621,Cozy Entire home/apt in Chelsea,13769,David,Manhattan,Chelsea,40.779445,-73.967343,Entire home/apt,284,30,53,2020-03-16,3.31,1,147
3622,Cozy Private room in New Brighton,26362,James,Staten Island,New Brighton,40.605882,-74.119281,Private room,16,2,20,,0.77,1,218
3623,Cozy Private room in Astoria,11268,James,Queens,Astoria,40.748797,-73.833987,Private room,119,2,4,2019-05-12,0.16,1,255
3624,Cozy Private room in Bushwick,40226,James,Brooklyn,Bushwick,40.649508,-73.912878,Private room,47,14,18,2019-11-22,0.53,1,243
3625,Cozy Private room in Bushwick,10403,James,Brooklyn,Bushwick,40.642118,-73.909221,Private room,100,2,5,2019-08-25,0.71,1,219
3626,Cozy Entire home/apt in Bushwick,98379,Maria,Brooklyn,Bushwick,40.63092,-73.941651,Entire home/apt,112,30,3,2020-02-06,0.18,2,349
3627,Cozy Private room in Lower East Side,15327,David,Manhattan,Lower East Side,40.736709,-74.010851,Private room,288,7,27,2019-11-27,1.93,3,309
3628,Cozy Private room in Midtown,26549,Maria,Manhattan,Midtown,40.730096,-74.009166,Private room,260,30,1,2019-01-27,0.04,10,145
3629,Cozy Entire home/apt in Williamsburg,77557,David,Brooklyn,Williamsburg,40.641539,-73.952251,Entire home/apt,78,3,40,2019-01-29,1.14,5,318
3630,Cozy Entire home/apt in Midtown,37091,James,Manhattan,Midtown,40.760598,-73.969357,Entire home/apt,108,2,23,2019-01-26,2.56,2,350
3631,Cozy Entire home/apt in Park Slope,10145,Emma,Brooklyn,Park Slope,40.62548,-73.969411,Entire home/apt,173,7,18,2019-07-11,1.12,1,127
3632,Cozy Private room in Hell's Kitchen,96190,Sarah,Manhattan,Hell's Kitchen,40.749732,-73.998083,Private room,10,2,9,2019-11-01,0.69,3,56
3633,Cozy Private room in Bed-Stuy,44118,Sarah,Brooklyn,Bed-Stuy,40.694758,-73.932627,Private room,37,2,1,2020-01-23,0.06,1,197
3634,Cozy Shared room in Kingsbridge,48915,John,Bronx,Kingsbridge,40.862147,-73.850833,Shared room,10,1,42,2019-10-09,7.0,2,335
3635,Cozy Shared room in Bushwick,39980,John,Brooklyn,Bushwick,40.626399,-73.953299,Shared room,123,7,9,2019-04-16,1.12,1,171
3636,Cozy Entire home/apt in Upper East Side,86348,Maria,Manhattan,Upper East Side,40.725975,-73.956993,Entire home/apt,354,7,1,2019-04-20,0.1,1,60
3637,Cozy Entire home/apt in Chelsea,51560,Michael,Manhattan,Chelsea,40.772174,-73.962109,Entire home/apt,292,3,23,2019-07-04,3.83,10,334
3638,Cozy Private room in Williamsburg,14436,Lisa,Brooklyn,Williamsburg,40.648792,-73.946089,Private room,27,3,9,2020-01-06,0.64,1,206
3639,Cozy Entire home/apt in Upper East Side,60837,Maria,Manhattan,Upper East Side,40.75198,-73.993258,Entire home/apt,297,14,32,2020-05-17,16.0,1,65
