id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
3404,Manhattan,Midtown,40.73777,-74.014643,Entire home/apt,218,1,2.0,0.06,2,57
3405,Queens,Long Island City,40.721977,-73.854287,Private room,38,3,0.0,,2,73
3406,Brooklyn,Crown Heights,40.701997,-73.95845,Private room,10,7,5.0,0.14,1,254
3407,Manhattan,Lower East Side,40.767651,-73.972246,Entire home/apt,261,3,23.0,1.92,1,282
3408,Manhattan,Upper East Side,40.741334,-74.011155,Private room,118,60,0.0,,1,246
3409,Queens,Jackson Heights,40.755335,-73.858168,Entire home/apt,60,60,45.0,,1,315
3410,Brooklyn,Bed-Stuy,40.667863,-73.917383,Entire home/apt,168,1,7.0,1.4,1,140
3411,Manhattan,Lower East Side,40.732695,-73.946988,Private room,142,2,16.0,0.94,1,153
3412,Brooklyn,Park Slope,40.686369,-73.953542,Entire home/apt,147,2,8.0,0.53,1,270
3413,Queens,Jackson Heights,40.749978,-73.840819,Entire home/apt,103,2,3.0,0.13,1,41
3414,Bronx,Fordham,40.834296,-73.848041,Entire home/apt,108,2,37.0,1.16,1,237
3415,Queens,Jackson Heights,40.702018,-73.839522,Entire home/apt,90,60,32.0,32.0,1,342
3416,Manhattan,Lower East Side,40.739266,-73.97445,Entire home/apt,283,1,30.0,3.33,3,77
3417,Manhattan,Upper East Side,40.722395,-74.021821,Entire home/apt,242,3,31.0,2.82,1,229
3418,Manhattan,Harlem,40.737539,-73.985867,Entire home/apt,59,2,103.0,20.6,3,325
3419,Staten Island,New Brighton,40.606162,-74.128603,Private room,62,3,10.0,0.56,1,318
3420,Manhattan,Harlem,40.752044,-73.968675,Entire home/apt,209,2,18.0,1.8,1,262
3421,Manhattan,Harlem,40.749915,-74.023031,Shared room,111,2,25.0,2.27,2,0
3422,Brooklyn,Crown Heights,40.643275,-73.927742,Shared room,10,2,0.0,,1,100
3423,Manhattan,Lower East Side,40.767536,-74.014271,Private room,129,30,18.0,2.25,1,361
3424,Manhattan,Hell's Kitchen,40.780424,-73.9631,Private room,128,30,0.0,,1,218
3425,Manhattan,Harlem,40.731599,-74.023101,Private room,202,30,44.0,1.63,1,226
3426,Manhattan,Chelsea,40.789558,-74.023786,Entire home/apt,228,1,21.0,2.62,20,79
3427,Queens,Jackson Heights,40.767132,-73.880159,Entire home/apt,79,2,1.0,0.03,1,286
3428,Brooklyn,Park Slope,40.65618,-73.944914,Private room,113,1,24.0,1.71,1,113
3429,Brooklyn,Bed-Stuy,40.63332,-73.961713,Private room,10,2,15.0,1.36,3,23
3430,Manhattan,Hell's Kitchen,40.745082,-73.972693,Private room,30,30,8.0,0.3,5,80
3431,Manhattan,Midtown,40.724674,-73.950559,Entire home/apt,217,1,0.0,,5,253
3432,Manhattan,Harlem,40.751491,-74.017484,Entire home/apt,113,7,7.0,2.33,1,203
3433,Brooklyn,Bushwick,40.627056,-73.944208,Private room,10,1,82.0,7.45,3,229
3434,Brooklyn,Bushwick,40.629731,-73.905299,Entire home/apt,153,1,13.0,0.39,10,84
3435,Queens,Astoria,40.688099,-73.833582,Private room,48,1,33.0,3.3,10,145
3436,Brooklyn,Williamsburg,40.669147,-73.909576,Entire home/apt,121,1,75.0,6.82,1,248
3437,Brooklyn,Crown Heights,40.683503,-73.909803,Entire home/apt,46,2,14.0,1.17,1,16
3438,Queens,Jackson Heights,40.691911,-73.82878,Entire home/apt,109,1,15.0,7.5,1,208
3439,Brooklyn,Crown Heights,40.686361,-73.967206,Entire home/apt,115,30,31.0,5.17,2,60
3440,Brooklyn,Bushwick,40.625004,-73.909456,Entire home/apt,179,14,2.0,0.07,2,365
3441,Brooklyn,Bed-Stuy,40.678505,-73.936512,Private room,104,3,27.0,0.87,1,204
3442,Manhattan,Upper East Side,40.733128,-73.973566,Private room,22,3,,0.36,1,305
3443,Queens,Flushing,40.691167,-73.844884,Shared room,45,14,15.0,0.56,1,184
3444,Manhattan,Lower East Side,40.747644,-73.976833,Entire home/apt,115,2,7.0,0.7,1,290
3445,Brooklyn,Bed-Stuy,40.671563,-73.908268,Entire home/apt,252,30,63.0,5.25,1,108
3446,Queens,Long Island City,40.717979,-73.839829,Private room,14,1,45.0,4.09,3,116
3447,Manhattan,Hell's Kitchen,40.786556,-73.978689,Entire home/apt,147,7,39.0,1.77,2,315
3448,Queens,Jackson Heights,40.752084,-73.861607,Shared room,52,2,0.0,,1,249
3449,Brooklyn,Bed-Stuy,40.648697,-73.976255,Shared room,144,7,8.0,1.6,3,293
3450,Brooklyn,Bushwick,40.646735,-73.914508,Private room,84,90,28.0,,10,69
3451,Manhattan,Upper East Side,40.77221,-74.012501,Entire home/apt,165,90,21.0,2.33,1,319
3452,Manhattan,Midtown,40.736727,-73.950364,Entire home/apt,164,30,15.0,7.5,1,21
3453,Brooklyn,Bushwick,40.638436,-73.910371,Private room,118,2,15.0,0.44,1,38
3454,Brooklyn,Bed-Stuy,40.625277,-73.914334,Private room,90,2,63.0,2.33,1,349
3455,Manhattan,Harlem,40.715581,-73.990153,Entire home/apt,160,14,14.0,2.0,10,360
3456,Manhattan,Harlem,40.777141,-73.990013,Entire home/apt,177,1,42.0,1.35,1,335
3457,Manhattan,Lower East Side,40.778021,-74.005195,Private room,36,3,22.0,7.33,5,12
3458,Brooklyn,Bed-Stuy,40.677251,-73.970285,Entire home/apt,68,14,9.0,0.27,1,322
3459,Manhattan,Midtown,40.787179,-73.984372,Private room,108,14,,2.33,10,161
3460,Manhattan,Upper East Side,40.720522,-74.005395,Private room,249,1,15.0,1.67,3,358
3461,Staten Island,New Brighton,40.549531,-74.162938,Entire home/apt,100,14,12.0,0.34,10,245
3462,Manhattan,Midtown,40.726733,-73.957589,Private room,32,7,0.0,,1,295
3463,Staten Island,New Brighton,40.589406,-74.133676,Entire home/apt,76,3,8.0,0.29,1,337
3464,Staten Island,New Brighton,40.578111,-74.149247,Entire home/apt,103,7,16.0,0.59,1,289
3465,Manhattan,Chelsea,40.755699,-73.959476,Private room,269,2,6.0,2.0,2,223
3466,Manhattan,Hell's Kitchen,40.727584,-73.949541,Entire home/apt,389,1,,0.47,5,150
3467,Brooklyn,Park Slope,40.630225,-73.920506,Entire home/apt,137,30,33.0,2.2,10,15
3468,Brooklyn,Park Slope,40.655989,-73.933996,Entire home/apt,128,1,12.0,0.48,1,120
3469,Manhattan,Chelsea,40.718513,-73.990191,Entire home/apt,154,1,2.0,0.29,3,229
3470,Brooklyn,Park Slope,40.695389,-73.908468,Shared room,141,7,9.0,1.0,3,51
3471,Manhattan,Chelsea,40.737136,-73.994615,Private room,106,60,32.0,1.03,1,204
3472,Brooklyn,Bushwick,40.636847,-73.933141,Private room,10,7,17.0,2.83,5,294
3473,Bronx,Fordham,40.858374,-73.881706,Private room,27,1,39.0,1.11,1,337
3474,Manhattan,Upper East Side,40.717467,-73.974839,Private room,108,3,25.0,1.47,10,272
3475,Brooklyn,Bushwick,40.660677,-73.941258,Entire home/apt,249,14,1.0,1.0,1,60
3476,Staten Island,New Brighton,40.573738,-74.181039,Shared room,28,1,42.0,42.0,3,319
3477,Bronx,Kingsbridge,40.822289,-73.905764,Private room,13,60,23.0,0.68,3,45
3478,Brooklyn,Williamsburg,40.66402,-73.923683,Shared room,79,2,15.0,0.44,3,290
3479,Queens,Astoria,40.697225,-73.888261,Entire home/apt,128,2,0.0,,1,320
3480,Queens,Jackson Heights,40.695338,-73.851003,Private room,70,14,8.0,0.57,1,66
3481,Manhattan,Hell's Kitchen,40.764244,-74.014181,Private room,85,3,12.0,0.57,1,110
3482,Brooklyn,Park Slope,40.63064,-73.961316,Shared room,88,7,14.0,0.58,1,330
3483,Brooklyn,Williamsburg,40.626354,-73.911992,Private room,21,1,2.0,0.2,1,74
3484,Queens,Jackson Heights,40.761158,-73.830724,Entire home/apt,152,60,97.0,5.71,1,235
3485,Manhattan,Chelsea,40.787437,-74.010271,Entire home/apt,178,7,15.0,0.43,1,213
3486,Manhattan,Upper East Side,40.761986,-73.981978,Private room,98,1,24.0,1.0,1,81
3487,Brooklyn,Bed-Stuy,40.663631,-73.945276,Shared room,69,1,5.0,0.28,1,271
3488,Manhattan,Hell's Kitchen,40.718912,-74.004235,Private room,32,1,6.0,0.23,3,10
3489,Queens,Flushing,40.754305,-73.828034,Private room,11,2,15.0,0.56,20,56
3490,Manhattan,Lower East Side,40.727069,-73.984438,Entire home/apt,351,14,3.0,0.08,1,292
3491,Brooklyn,Park Slope,40.647896,-73.918801,Private room,115,90,0.0,,1,69
3492,Bronx,Riverdale,40.869215,-73.879907,Entire home/apt,65,7,33.0,1.38,1,308
3493,Brooklyn,Bed-Stuy,40.626892,-73.908829,Private room,50,2,44.0,1.22,1,114
3494,Brooklyn,Park Slope,40.653822,-73.957242,Entire home/apt,232,2,17.0,1.0,1,189
3495,Manhattan,Chelsea,40.784279,-73.975756,Private room,254,1,22.0,0.96,1,305
3496,Brooklyn,Park Slope,40.642439,-73.922224,Entire home/apt,166,1,6.0,0.67,2,356
3497,Manhattan,Hell's Kitchen,40.735997,-73.948961,Private room,144,2,49.0,6.12,2,86
3498,Brooklyn,Bushwick,40.686497,-73.906755,Shared room,116,2,41.0,1.41,1,132
3499,Manhattan,Hell's Kitchen,40.79193,-73.956088,Private room,148,7,20.0,1.82,2,20
3500,Brooklyn,Williamsburg,40.627947,-73.930561,Private room,96,3,1.0,0.07,3,244
3501,Brooklyn,Bed-Stuy,40.685415,-73.931578,Private room,154,14,31.0,1.19,10,194
3502,Manhattan,Chelsea,40.747735,-74.015237,Private room,95,2,30.0,0.83,1,141
3503,Manhattan,Lower East Side,40.79349,-73.964968,Private room,156,3,11.0,2.75,1,264
3504,Manhattan,Harlem,40.776866,-74.006106,Entire home/apt,129,2,24.0,0.96,1,135
3505,Queens,Astoria,40.704808,-73.888643,Entire home/apt,71,2,2.0,0.33,1,86
3506,Manhattan,Harlem,40.762907,-73.965085,Entire home/apt,403,2,46.0,1.48,2,346
3507,Manhattan,Lower East Side,40.771657,-73.948929,Private room,242,1,61.0,2.18,1,110
3508,Manhattan,Midtown,40.748052,-73.980676,Private room,10,2,39.0,7.8,20,18
3509,Queens,Long Island City,40.72453,-73.83553,Shared room,64,3,51.0,3.4,1,253
3510,Brooklyn,Crown Heights,40.648172,-73.920574,Private room,103,1,,5.83,2,83
3511,Brooklyn,Bed-Stuy,40.651837,-73.928101,Private room,182,2,11.0,3.67,1,315
3512,Brooklyn,Park Slope,40.65889,-73.929655,Entire home/apt,225,7,2.0,0.08,1,102
3513,Manhattan,Lower East Side,40.748461,-73.963346,Entire home/apt,263,7,28.0,0.82,1,305
3514,Brooklyn,Crown Heights,40.691224,-73.904118,Entire home/apt,127,90,9.0,2.25,20,110
3515,Brooklyn,Bushwick,40.670362,-73.952221,Entire home/apt,50,7,17.0,0.53,2,361
3516,Queens,Jackson Heights,40.755648,-73.896476,Entire home/apt,132,2,29.0,29.0,1,39
3517,Brooklyn,Bushwick,40.690325,-73.90516,Entire home/apt,53,2,6.0,0.18,5,215
3518,Bronx,Fordham,40.852403,-73.902601,Entire home/apt,119,2,3.0,0.23,1,252
3519,Brooklyn,Williamsburg,40.678112,-73.94922,Entire home/apt,103,7,11.0,0.33,1,221
3520,Manhattan,Lower East Side,40.723313,-73.987448,Entire home/apt,325,1,32.0,2.13,1,304
3521,Staten Island,New Brighton,40.599306,-74.120492,Entire home/apt,86,7,33.0,3.0,1,63
3522,Manhattan,Hell's Kitchen,40.767981,-73.961717,Entire home/apt,265,3,,4.0,1,132
3523,Queens,Long Island City,40.722771,-73.845664,Entire home/apt,26,2,43.0,2.69,1,248
3524,Queens,Astoria,40.759635,-73.894897,Private room,76,1,37.0,3.36,3,62
3525,Bronx,Riverdale,40.843401,-73.878575,Entire home/apt,76,1,63.0,3.5,1,266
3526,Brooklyn,Park Slope,40.698018,-73.979619,Private room,61,3,40.0,1.74,5,202
3527,Manhattan,Hell's Kitchen,40.785595,-73.945605,Entire home/apt,187,1,7.0,0.27,1,355
3528,Manhattan,Upper East Side,40.751028,-74.00632,Entire home/apt,291,7,1.0,0.08,1,190
3529,Queens,Astoria,40.767797,-73.823458,Entire home/apt,27,1,20.0,4.0,3,172
3530,Queens,Astoria,40.714329,-73.839304,Entire home/apt,73,1,13.0,0.36,1,123
3531,Bronx,Fordham,40.833997,-73.849853,Private room,35,90,39.0,,2,190
3532,Manhattan,Lower East Side,40.757571,-73.989178,Private room,271,7,28.0,1.22,1,277
3533,Brooklyn,Crown Heights,40.650112,-73.927901,Entire home/apt,96,2,62.0,3.44,3,69
3534,Bronx,Riverdale,40.850893,-73.891302,Entire home/apt,82,2,15.0,1.15,1,261
3535,Manhattan,Upper East Side,40.733297,-74.00871,Private room,107,1,5.0,0.19,5,155
3536,Brooklyn,Bed-Stuy,40.679817,-73.910825,Private room,23,7,2.0,2.0,1,15
3537,Brooklyn,Crown Heights,40.636848,-73.968973,Entire home/apt,132,2,8.0,0.67,1,75
3538,Bronx,Fordham,40.809755,-73.87082,Private room,37,1,22.0,0.67,5,74
3539,Brooklyn,Williamsburg,40.667448,-73.978487,Private room,134,60,4.0,0.11,2,352
3540,Brooklyn,Williamsburg,40.632739,-73.919888,Entire home/apt,56,1,4.0,0.12,1,207
3541,Brooklyn,Crown Heights,40.682111,-73.981589,Entire home/apt,130,1,15.0,0.68,2,302
3542,Manhattan,Midtown,40.736759,-74.002979,Private room,231,1,26.0,0.79,1,23
3543,Manhattan,Chelsea,40.760037,-73.957897,Entire home/apt,162,7,0.0,,3,91
3544,Manhattan,Lower East Side,40.714914,-73.998938,Entire home/apt,363,7,29.0,1.71,1,188
3545,Brooklyn,Park Slope,40.704747,-73.921676,Private room,136,1,68.0,2.72,5,19
3546,Brooklyn,Bed-Stuy,40.676032,-73.907739,Entire home/apt,196,1,37.0,1.19,5,329
3547,Staten Island,St. George,40.591743,-74.116951,Entire home/apt,120,3,3.0,0.14,1,36
3548,Staten Island,Stapleton,40.563237,-74.173327,Entire home/apt,66,14,57.0,1.9,5,157
3549,Brooklyn,Bed-Stuy,40.635795,-73.936258,Private room,143,2,10.0,5.0,1,221
3550,Manhattan,Upper East Side,40.767263,-74.018685,Private room,208,14,7.0,0.88,1,188
3551,Queens,Long Island City,40.707896,-73.835144,Private room,174,30,24.0,4.8,2,46
3552,Manhattan,Upper East Side,40.7387,-73.996915,Shared room,133,1,12.0,0.8,5,10
3553,Manhattan,Hell's Kitchen,40.75202,-74.00681,Shared room,33,1,7.0,0.47,1,198
3554,Manhattan,Chelsea,40.775685,-73.94682,Entire home/apt,123,3,81.0,3.0,1,284
3555,Manhattan,Chelsea,40.718833,-73.976262,Private room,15,7,6.0,0.18,5,312
3556,Brooklyn,Bed-Stuy,40.659654,-73.973369,Shared room,10,7,30.0,30.0,5,3
3557,Manhattan,Hell's Kitchen,40.77959,-74.013875,Shared room,142,2,1.0,,1,265
3558,Brooklyn,Bushwick,40.641976,-73.934292,Entire home/apt,121,14,2.0,0.11,1,224
3559,Brooklyn,Williamsburg,40.69913,-73.94967,Entire home/apt,92,2,75.0,2.88,1,347
3560,Bronx,Kingsbridge,40.813467,-73.864081,Shared room,10,1,39.0,1.77,5,129
3561,Manhattan,Midtown,40.744388,-73.962924,Entire home/apt,240,3,5.0,0.14,1,126
3562,Brooklyn,Bushwick,40.652475,-73.95446,Private room,32,2,3.0,0.1,1,232
3563,Manhattan,Chelsea,40.781355,-73.980813,Private room,40,1,34.0,1.48,2,192
3564,Manhattan,Harlem,40.769095,-74.012787,Entire home/apt,10,7,66.0,3.67,2,71
3565,Manhattan,Harlem,40.732456,-73.991759,Private room,148,1,20.0,1.54,2,283
3566,Queens,Jackson Heights,40.741914,-73.869704,Entire home/apt,137,90,3.0,0.23,1,90
3567,Manhattan,Harlem,40.781398,-74.023277,Private room,129,7,17.0,1.06,10,84
3568,Brooklyn,Crown Heights,40.657964,-73.917181,Entire home/apt,86,7,8.0,0.57,1,37
3569,Brooklyn,Bushwick,40.646266,-73.976519,Private room,70,3,0.0,,1,302
3570,Brooklyn,Bushwick,40.65666,-73.931519,Entire home/apt,78,30,45.0,2.81,1,238
3571,Queens,Long Island City,40.757187,-73.832413,Private room,33,2,31.0,3.1,1,296
3572,Bronx,Riverdale,40.797381,-73.894271,Entire home/apt,138,7,31.0,3.88,1,89
3573,Brooklyn,Williamsburg,40.692168,-73.963786,Private room,108,30,1.0,0.03,5,36
3574,Manhattan,Lower East Side,40.730425,-73.967577,Entire home/apt,224,14,5.0,5.0,10,211
3575,Manhattan,Lower East Side,40.792051,-73.975378,Entire home/apt,261,7,3.0,1.0,1,176
3576,Queens,Jackson Heights,40.726647,-73.825443,Entire home/apt,10,14,30.0,1.25,3,299
3577,Manhattan,Lower East Side,40.76387,-73.952164,Private room,221,30,1.0,0.05,10,181
3578,Manhattan,Upper East Side,40.768529,-73.99966,Private room,53,7,33.0,1.83,1,190
3579,Queens,Jackson Heights,40.766443,-73.861307,Entire home/apt,130,2,22.0,1.83,1,138
3580,Queens,Long Island City,40.70656,-73.869076,Private room,10,1,10.0,0.38,1,362
3581,Manhattan,Harlem,40.743228,-74.020212,Entire home/apt,36,3,32.0,3.56,1,257
3582,Manhattan,Midtown,40.760889,-73.998478,Entire home/apt,333,1,5.0,0.15,1,330
3583,Brooklyn,Park Slope,40.65877,-73.956664,Entire home/apt,158,3,25.0,0.81,2,272
3584,Manhattan,Lower East Side,40.761526,-73.963547,Entire home/apt,170,1,3.0,1.0,2,237
3585,Manhattan,Lower East Side,40.777457,-73.971065,Private room,113,30,81.0,3.52,1,18
3586,Brooklyn,Park Slope,40.692783,-73.911035,Entire home/apt,144,1,58.0,4.83,20,324
3587,Manhattan,Upper East Side,40.71578,-74.013135,Entire home/apt,238,3,23.0,2.88,1,68
3588,Brooklyn,Bed-Stuy,40.640712,-73.939798,Shared room,36,7,4.0,0.13,1,146
3589,Queens,Long Island City,40.731464,-73.821844,Entire home/apt,55,3,1.0,1.0,2,9
3590,Manhattan,Midtown,40.760443,-74.014136,Entire home/apt,99,90,25.0,1.79,5,333
3591,Brooklyn,Park Slope,40.692508,-73.910345,Private room,109,30,13.0,1.86,2,243
3592,Brooklyn,Crown Heights,40.661341,-73.913942,Private room,47,2,8.0,0.33,3,258
3593,Queens,Long Island City,40.695989,-73.889777,Private room,41,2,27.0,2.25,2,162
3594,Manhattan,Lower East Side,40.757463,-74.001605,Private room,220,2,20.0,1.18,1,163
3595,Brooklyn,Bushwick,40.658456,-73.952298,Entire home/apt,218,14,,1.89,2,198
3596,Brooklyn,Park Slope,40.656584,-73.942516,Private room,107,2,77.0,3.5,1,217
3597,Brooklyn,Crown Heights,40.653676,-73.965344,Private room,77,7,32.0,2.67,1,154
3598,Manhattan,Upper East Side,40.753027,-73.996411,Private room,202,2,14.0,0.5,1,5
3599,Manhattan,Harlem,40.791746,-73.959312,Entire home/apt,38,3,26.0,0.96,1,140
3600,Brooklyn,Crown Heights,40.665983,-73.913001,Entire home/apt,124,1,126.0,5.25,1,255
3601,Staten Island,Stapleton,40.612727,-74.11767,Entire home/apt,87,14,12.0,0.67,1,279
3602,Bronx,Fordham,40.860177,-73.873666,Entire home/apt,26,2,36.0,3.0,1,167
3603,Manhattan,Lower East Side,40.754863,-73.981463,Private room,114,30,34.0,3.78,1,289
3604,Queens,Flushing,40.76582,-73.841488,Entire home/apt,123,2,39.0,5.57,2,250
3605,Manhattan,Hell's Kitchen,40.753191,-73.979074,Entire home/apt,115,2,43.0,2.39,10,134
3606,Brooklyn,Bushwick,40.650463,-73.927802,Entire home/apt,222,30,40.0,1.11,1,8
3607,Queens,Jackson Heights,40.741939,-73.890327,Private room,37,30,142.0,5.68,1,233
3608,Manhattan,Harlem,40.722231,-73.958708,Entire home/apt,237,90,43.0,4.3,1,87
3609,Queens,Flushing,40.688302,-73.822854,Private room,54,2,2.0,0.06,10,296
3610,Queens,Astoria,40.761736,-73.898765,Entire home/apt,131,7,7.0,0.58,1,233
3611,Manhattan,Upper East Side,40.750259,-73.972879,Entire home/apt,271,7,19.0,0.59,1,246
3612,Queens,Flushing,40.690462,-73.854129,Private room,90,1,9.0,0.26,3,146
3613,Brooklyn,Bed-Stuy,40.638188,-73.927011,Private room,57,2,8.0,0.38,5,322
3614,Queens,Jackson Heights,40.730721,-73.835648,Entire home/apt,103,2,1.0,0.05,2,110
3615,Brooklyn,Crown Heights,40.641397,-73.906056,Private room,34,7,66.0,1.83,1,85
3616,Brooklyn,Bed-Stuy,40.657064,-73.95748,Private room,50,3,11.0,2.75,3,323
3617,Staten Island,Stapleton,40.546392,-74.183335,Private room,42,7,11.0,1.57,10,114
3618,Brooklyn,Bushwick,40.699633,-73.978335,Private room,10,1,25.0,6.25,1,142
3619,Manhattan,Harlem,40.783575,-73.970218,Private room,51,3,18.0,1.06,2,318
3620,Manhattan,Upper East Side,40.71947,-73.976152,Shared room,51,60,21.0,3.0,1,355
3621,Staten Island,Stapleton,40.557491,-74.158767,Entire home/apt,117,7,26.0,1.18,1,25
3622,Manhattan,Chelsea,40.768391,-74.000326,Shared room,36,2,61.0,2.54,1,180
3623,Manhattan,Chelsea,40.734301,-73.991854,Private room,214,3,96.0,2.67,10,250
3624,Brooklyn,Bed-Stuy,40.704982,-73.942979,Entire home/apt,116,1,24.0,1.41,2,206
3625,Brooklyn,Crown Heights,40.673131,-73.983533,Entire home/apt,234,2,3.0,1.5,1,339
3626,Manhattan,Upper East Side,40.753637,-73.947774,Entire home/apt,270,2,8.0,1.0,1,96
3627,Brooklyn,Crown Heights,40.650705,-73.946039,Private room,10,1,14.0,1.08,1,210
3628,Queens,Flushing,40.717236,-73.895237,Entire home/apt,71,1,55.0,2.89,3,153
3629,Manhattan,Chelsea,40.717888,-73.973862,Private room,59,60,30.0,1.43,1,228
3630,Bronx,Kingsbridge,40.842102,-73.856895,Shared room,14,14,2.0,0.06,10,202
3631,Queens,Jackson Heights,40.69752,-73.863152,Private room,54,1,38.0,1.31,3,175
3632,Manhattan,Midtown,40.777433,-73.991323,Private room,105,3,22.0,0.88,1,287
3633,Brooklyn,Bed-Stuy,40.674623,-73.915477,Entire home/apt,60,2,55.0,2.89,20,216
3634,Brooklyn,Park Slope,40.683303,-73.932483,Entire home/apt,230,90,29.0,2.9,1,124
3635,Manhattan,Harlem,40.740524,-74.006156,Private room,117,3,21.0,0.95,2,12
3636,Manhattan,Upper East Side,40.764038,-73.957039,Entire home/apt,157,2,31.0,1.19,1,299
3637,Manhattan,Midtown,40.78271,-73.999918,Shared room,62,3,2.0,0.33,1,128
3638,Bronx,Riverdale,40.831274,-73.913976,Entire home/apt,79,3,16.0,0.73,20,347
3639,Manhattan,Harlem,40.742333,-74.014708,Entire home/apt,218,1,17.0,0.81,1,186
3640,Brooklyn,Crown Heights,40.701302,-73.920355,Entire home/apt,153,3,15.0,0.79,3,22
3641,Brooklyn,Crown Heights,40.690846,-73.954035,Private room,140,2,17.0,0.65,2,262
3642,Bronx,Fordham,40.837509,-73.920627,Entire home/apt,91,7,69.0,2.38,5,126
3643,Manhattan,Chelsea,40.735254,-73.94445,Entire home/apt,223,2,1.0,0.03,1,239
3644,Manhattan,Upper East Side,40.773348,-74.019051,Entire home/apt,293,30,12.0,0.44,1,61
3645,Manhattan,Harlem,40.750469,-73.97938,Private room,159,2,20.0,1.67,1,27
3646,Brooklyn,Williamsburg,40.688014,-73.925303,Entire home/apt,170,90,6.0,0.67,2,178
3647,Brooklyn,Bushwick,40.69075,-73.957909,Entire home/apt,186,1,9.0,0.53,1,188
3648,Brooklyn,Williamsburg,40.683056,-73.937617,Private room,10,2,12.0,0.86,1,67
3649,Manhattan,Harlem,40.741157,-73.976757,Entire home/apt,306,2,6.0,0.23,3,123
3650,Queens,Astoria,40.702759,-73.839708,Private room,35,7,0.0,,1,276
3651,Brooklyn,Williamsburg,40.659489,-73.978622,Entire home/apt,128,1,24.0,4.8,20,130
3652,Brooklyn,Park Slope,40.657407,-73.92727,Entire home/apt,181,7,9.0,,1,34
3653,Staten Island,St. George,40.603911,-74.124468,Entire home/apt,27,1,1.0,0.5,1,55
3654,Manhattan,Upper East Side,40.720033,-73.977734,Private room,112,1,167.0,4.91,2,286
3655,Manhattan,Midtown,40.777496,-74.019135,Private room,19,14,41.0,5.86,2,74
3656,Brooklyn,Crown Heights,40.62636,-73.968322,Private room,31,1,29.0,2.9,1,94
3657,Manhattan,Midtown,40.744764,-73.954474,Entire home/apt,25,2,23.0,0.92,2,62
3658,Manhattan,Chelsea,40.781308,-74.007449,Private room,45,2,22.0,1.47,2,265
3659,Staten Island,St. George,40.618044,-74.135713,Private room,34,30,8.0,0.42,2,351
3660,Bronx,Fordham,40.810836,-73.925408,Entire home/apt,69,3,3.0,0.33,2,157
3661,Brooklyn,Bushwick,40.668578,-73.939739,Entire home/apt,116,1,84.0,2.47,1,340
3662,Manhattan,Harlem,40.721981,-73.958622,Private room,201,2,18.0,9.0,1,193
3663,Manhattan,Midtown,40.770087,-73.985487,Entire home/apt,198,14,1.0,0.04,2,198
3664,Manhattan,Chelsea,40.774737,-73.97981,Entire home/apt,202,7,,0.03,1,223
3665,Queens,Jackson Heights,40.722487,-73.871769,Private room,36,30,59.0,1.69,20,233
3666,Brooklyn,Crown Heights,40.659752,-73.967184,Entire home/apt,224,7,38.0,1.06,1,360
3667,Queens,Jackson Heights,40.729783,-73.856797,Entire home/apt,125,1,6.0,0.67,5,183
3668,Queens,Flushing,40.746999,-73.848595,Private room,10,30,6.0,0.2,1,307
3669,Manhattan,Hell's Kitchen,40.73059,-73.991278,Entire home/apt,155,3,7.0,0.25,1,351
3670,Manhattan,Lower East Side,40.791912,-73.978372,Shared room,10,7,6.0,0.17,1,265
3671,Bronx,Fordham,40.833485,-73.860529,Private room,10,3,10.0,0.43,1,302
3672,Manhattan,Upper East Side,40.730299,-73.990414,Private room,96,7,5.0,0.14,1,32
3673,Manhattan,Harlem,40.723057,-74.007383,Private room,154,2,30.0,5.0,10,223
3674,Staten Island,Stapleton,40.615518,-74.134577,Shared room,14,1,13.0,0.65,1,2
3675,Manhattan,Chelsea,40.720747,-73.968725,Entire home/apt,195,1,48.0,1.78,1,34
3676,Brooklyn,Crown Heights,40.6373,-73.908187,Shared room,22,14,28.0,2.8,1,226
3677,Brooklyn,Crown Heights,40.672517,-73.914109,Entire home/apt,220,1,29.0,29.0,1,152
3678,Brooklyn,Williamsburg,40.656996,-73.921218,Entire home/apt,249,1,18.0,0.53,2,41
3679,Brooklyn,Bushwick,40.638117,-73.916269,Private room,72,1,57.0,2.48,3,231
3680,Manhattan,Chelsea,40.740916,-74.023984,Entire home/apt,243,1,2.0,0.06,1,194
3681,Bronx,Kingsbridge,40.838262,-73.85173,Private room,39,1,26.0,26.0,3,314
3682,Manhattan,Hell's Kitchen,40.758729,-74.001664,Entire home/apt,357,3,1.0,0.03,1,90
3683,Manhattan,Upper East Side,40.791258,-74.000151,Entire home/apt,349,30,6.0,0.3,1,86
3684,Manhattan,Midtown,40.75735,-73.983702,Entire home/apt,275,2,23.0,0.82,3,261
3685,Manhattan,Chelsea,40.741979,-73.946755,Entire home/apt,227,30,16.0,1.07,20,292
3686,Manhattan,Midtown,40.761489,-73.951012,Private room,90,3,21.0,0.58,2,191
3687,Brooklyn,Crown Heights,40.696079,-73.95776,Entire home/apt,105,2,4.0,,1,252
3688,Brooklyn,Park Slope,40.63285,-73.909185,Private room,167,1,6.0,0.17,2,226
3689,Manhattan,Upper East Side,40.718729,-74.016723,Shared room,129,7,96.0,3.69,1,44
3690,Queens,Flushing,40.762636,-73.853329,Entire home/apt,77,14,45.0,4.09,2,13
